="%  4 May 2023 11:14:57"
="Table 1"
="synth_narc Possession Arrest Rate",="22.6",="(24.9)",="998"
="other_drug Possession Arrest Rate",="102.4",="(123.3)",="998"
="Notes: "

="%  4 May 2023 11:14:57"
="Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="Property Arrest Rate",="451.8",="(168.7)",="998"
="Larceny Arrest Rate",="344.2",="(148.0)",="998"
="Burglary Arrest Rate",="75.9",="(40.4)",="998"
="MVT Arrest Rate",="29.0",="(20.2)",="998"
="Arson Arrest Rate",="2.8",="(1.8)",="998"
="black",="",="",=""
="Property Arrest Rate",="1032.7",="(460.1)",="998"
="Larceny Arrest Rate",="779.6",="(371.3)",="998"
="Burglary Arrest Rate",="173.8",="(107.0)",="998"
="MVT Arrest Rate",="73.8",="(68.8)",="998"
="Arson Arrest Rate",="5.4",="(3.6)",="998"
="white",="",="",=""
="Property Arrest Rate",="382.0",="(149.1)",="998"
="Larceny Arrest Rate",="291.2",="(125.5)",="998"
="Burglary Arrest Rate",="64.9",="(37.3)",="998"
="MVT Arrest Rate",="23.3",="(20.3)",="998"
="Arson Arrest Rate",="2.5",="(1.8)",="998"
="Notes: "

="%  4 May 2023 11:14:57"
="Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="Violent Arrest Rate",="181.4",="(99.2)",="998"
="Assault Arrest Rate",="138.8",="(86.9)",="998"
="Robbery Arrest Rate",="30.9",="(14.3)",="998"
="Murder Arrest Rate",="4.3",="(2.3)",="998"
="Rape Arrest Rate",="7.4",="(3.1)",="998"
="black",="",="",=""
="Violent Arrest Rate",="531.8",="(308.2)",="998"
="Assault Arrest Rate",="367.2",="(234.2)",="998"
="Robbery Arrest Rate",="128.7",="(72.8)",="998"
="Murder Arrest Rate",="17.3",="(9.9)",="998"
="Rape Arrest Rate",="18.6",="(12.3)",="998"
="white",="",="",=""
="Violent Arrest Rate",="135.3",="(99.8)",="998"
="Assault Arrest Rate",="109.3",="(88.5)",="998"
="Robbery Arrest Rate",="17.5",="(11.0)",="998"
="Murder Arrest Rate",="2.5",="(1.5)",="998"
="Rape Arrest Rate",="6.0",="(2.7)",="998"
="Notes: "

="%  4 May 2023 11:14:57"
="Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="all",="",="",=""
="Vandalism Arrest Rate",="62.5",="(37.9)",="998"
="Liquor Law Arrest Rate",="148.8",="(183.8)",="998"
="Drunkenness Arrest Rate",="184.7",="(240.8)",="998"
="rate_dui_1899",="467.1",="(223.8)",="998"
="Disorderly Conduct Arrest Rate",="160.6",="(156.1)",="998"
="black",="",="",=""
="Vandalism Arrest Rate",="130.3",="(102.9)",="998"
="Liquor Law Arrest Rate",="183.0",="(349.2)",="998"
="Drunkenness Arrest Rate",="220.9",="(365.9)",="998"
="rate_dui_1899",="418.8",="(240.9)",="998"
="Disorderly Conduct Arrest Rate",="403.0",="(425.0)",="998"
="white",="",="",=""
="Vandalism Arrest Rate",="54.6",="(33.3)",="998"
="Liquor Law Arrest Rate",="145.9",="(161.9)",="998"
="Drunkenness Arrest Rate",="184.1",="(232.1)",="998"
="rate_dui_1899",="491.4",="(238.0)",="998"
="Disorderly Conduct Arrest Rate",="128.8",="(128.5)",="998"
="Notes: "

="%  4 May 2023 11:14:57"
="Table 1"
="",="(1)",="",=""
="",="Mean",="",=""
="",="mean",="sd",="count"
="Number of Agencies Reporting Arrests",="460.474",="(303.728)",="998"
="Medical Marijuana Law",="0.344",="(0.471)",="998"
="Marijuana Decriminalization Law",="0.391",="(0.488)",="998"
="Ln(Police per Capita)",="0.818",="(0.240)",="998"
="State Unemployment Rate",="5.929",="(2.067)",="998"
="Personal Income per Capita",="42499.080",="(10130.563)",="998"
="Share Non-Hispanic Black",="0.126",="(0.083)",="998"
="Share Hispanic",="0.155",="(0.129)",="998"
="Good Samaritan Law - Alcohol",="0.067",="(0.247)",="998"
="Good Samaritan Law - Drug",="0.184",="(0.381)",="998"
="Naloxone Access Law",="0.355",="(0.469)",="998"
="Must-Access Prescription Drug Monotoring Program",="0.129",="(0.325)",="998"
="Beer Tax per Gallon",="0.255",="(0.243)",="998"
="Minimum Wage",="7.067",="(1.496)",="998"
="ACA Medicaid Expansion",="0.208",="(0.406)",="998"
="Democrat Governor",="0.471",="(0.497)",="998"
="EITC Refundable Rate",="0.081",="(0.165)",="998"
="Notes: "

